Date,Hour,Condi,Temp,Sunsine,Dew,preci,Snow,wdirect,wspeed,Gust,Pressure,Humidity
2024-05-06,18,,32 °C,—,25.1 °C,0 mm,—,,18.4 km/h,—,1007 hPa,67 %
2024-05-06,19,,31 °C,—,25.1 °C,0 mm,—,,14.8 km/h,—,1008 hPa,71 %
2024-05-06,20,,31 °C,—,23.9 °C,0 mm,—,,14.8 km/h,—,1009 hPa,66 %
2024-05-06,21,,31 °C,—,25.1 °C,0 mm,—,,13 km/h,—,1010 hPa,71 %
2024-05-06,22,,31 °C,—,25.1 °C,0 mm,—,,14.8 km/h,—,1010 hPa,71 %
2024-05-06,23,,30 °C,—,25.1 °C,0 mm,—,,13 km/h,—,1010 hPa,75 %
2024-05-07,00,,30 °C,—,25.1 °C,0 mm,—,,13 km/h,—,1010 hPa,75 %
2024-05-07,01,,30 °C,—,25.1 °C,0 mm,—,,13 km/h,—,1010 hPa,75 %
2024-05-07,02,,30 °C,—,25.1 °C,0 mm,—,,9.4 km/h,—,1009 hPa,75 %
2024-05-07,03,,30 °C,—,26 °C,0 mm,—,,11.2 km/h,—,1009 hPa,79 %
2024-05-07,04,,29 °C,—,26 °C,0 mm,—,,11.2 km/h,—,1009 hPa,84 %
2024-05-07,05,,29 °C,—,26 °C,0 mm,—,,7.6 km/h,—,1010 hPa,84 %
2024-05-07,06,,29 °C,—,27 °C,0 mm,—,,9.4 km/h,—,1011 hPa,89 %
2024-05-07,07,,31 °C,—,26.9 °C,0 mm,—,,11.2 km/h,—,1011 hPa,79 %
2024-05-07,08,,33 °C,—,23.9 °C,0 mm,—,,13 km/h,—,1011 hPa,59 %
2024-05-07,09,,34 °C,—,23.1 °C,0 mm,—,,14.8 km/h,—,1011 hPa,53 %
2024-05-07,10,,35 °C,—,23 °C,0 mm,—,,13 km/h,—,1011 hPa,50 %
2024-05-07,11,,36 °C,—,21.8 °C,0 mm,—,,13 km/h,—,1010 hPa,44 %
2024-05-07,12,,36 °C,—,21.8 °C,0.8 mm,—,,11.2 km/h,—,1010 hPa,44 %
2024-05-07,13,,36 °C,—,23.9 °C,0.1 mm,—,,18.4 km/h,—,1009 hPa,50 %
2024-05-07,14,,30 °C,—,26 °C,0.2 mm,—,,11.2 km/h,—,1008 hPa,79 %
2024-05-07,15,,36 °C,—,23.9 °C,4 mm,—,,16.6 km/h,—,1007 hPa,50 %
2024-05-07,16,,32 °C,—,24.1 °C,7.7 mm,—,,25.9 km/h,—,1008 hPa,63 %
2024-05-07,17,,29 °C,—,26 °C,0.6 mm,—,,16.6 km/h,—,1008 hPa,84 %
2024-05-07,18,,26 °C,—,26 °C,0 mm,—,,22.3 km/h,—,1009 hPa,100 %
2024-05-07,19,,28 °C,—,26.9 °C,0 mm,—,,3.6 km/h,—,1010 hPa,94 %
2024-05-07,20,,28 °C,—,26.9 °C,0 mm,—,,5.4 km/h,—,1011 hPa,94 %
2024-05-07,21,,28 °C,—,26.9 °C,0 mm,—,,1.8 km/h,—,1011 hPa,94 %
2024-05-07,22,,28 °C,—,26.9 °C,0 mm,—,,3.6 km/h,—,1011 hPa,94 %
2024-05-07,23,,28 °C,—,26.9 °C,0.5 mm,—,,3.6 km/h,—,1011 hPa,94 %
2024-05-08,00,,28 °C,—,26.9 °C,0 mm,—,,4 km/h,—,1010 hPa,94 %
2024-05-08,01,,27 °C,—,27 °C,0 mm,—,,6 km/h,—,1010 hPa,100 %
2024-05-08,02,,27 °C,—,27 °C,0 mm,—,,5.4 km/h,—,1010 hPa,100 %
2024-05-08,03,,27 °C,—,27 °C,0 mm,—,,3.6 km/h,—,1010 hPa,100 %
2024-05-08,04,,27 °C,—,26 °C,0 mm,—,,9 km/h,—,1010 hPa,94 %
2024-05-08,05,,27 °C,—,26 °C,0 mm,—,,7 km/h,—,1010 hPa,94 %
2024-05-08,06,,27 °C,—,26 °C,0 mm,—,,9 km/h,—,1010 hPa,94 %
2024-05-08,07,,29 °C,—,27.9 °C,0 mm,—,,7 km/h,—,1011 hPa,94 %
